title,price,rating,reviews,availability
"Alienware M17R5 Gaming Laptop - 17.3-inch FHD 480Hz Display, AMD Ryzen 9-6900HX, 32GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 3080 GDDR6, Windows 11 Home, 1 Year Support - Dark Side of the Moon, Black",,3.6 out of 5 stars,177 ratings,Only 1 left in stock - order soon.
"Alienware X17 R2 VR Ready Gaming Laptop - 17.3-inch FHD 360Hz 1ms Display, Core i7-12700H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070Ti 8GB GDDR6, Bluetooth, Wi-Fi 6, USB-C, Windows 11 Home - White","$1,879.99",4.2 out of 5 stars,110 ratings,Only 3 left in stock - order soon.
"Alienware m17 R5 Gaming Laptop 2023 Newest, 17.3"" Display, AMD Ryzen 9 6900HX, AMD Radeon RX 6850M XT Graphics (Beat RTX 3080 Ti), 64GB DDR5 RAM, 1TB SSD, WI-Fi 6, Backlit Keyboard, Windows 11 Home",,4.4 out of 5 stars,1 rating,Only 4 left in stock - order soon.
"Alienware X16 R1 Gaming Laptop - 16-inch QHD+ 240Hz Display, Intel Core i9-13900HK, 32GB LPDDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 4080 12GB GDDR6, Windows 11 Home - Lunar Silver","$1,921.41",3.8 out of 5 stars,85 ratings,Only 3 left in stock - order soon.
"Alienware X15R1 Gaming Laptop - 15.6-inch FHD (1920x1080) 360Hz 1ms Display, Intel Core i7-11800H Processor, 16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3070 DDR6 Graphics, Windows 11 Home- Lunar Light",,4.1 out of 5 stars,84 ratings,Not Available
"Dell Alienware R4 15.6"" Full HD Gaming Laptop, 8th Gen Intel Core i7-8750H, 16GB Memory, 1TB HDD + 8GB SSD, NVIDIA GeForce GTX 1060 6GB, Windows 10",,4.2 out of 5 stars,80 ratings,Only 8 left in stock - order soon.
"Alienware m17 R4, 17.3 inch FHD (Full HD) Gaming Laptop - Intel Core i7-10870H, 16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 10 Home - Lunar Light",,4.5 out of 5 stars,199 ratings,Only 2 left in stock - order soon.
"Alienware Dell m17 17.3"" Gaming Notebook i7-8750H 16GB RAM 256GB SSD 1TB HDD GeForce RTX 2070-8th Gen i7-8750H Hexa-core - NVIDIA GeForce RTX 2070 8GB - 1920 x 1080 Full HD Resolution - in-Plan",,3.5 out of 5 stars,10 ratings,Only 1 left in stock - order soon.
"Alienware M15 R6 VR Ready Gaming Laptop - 15.6 inch QHD Display, 240Hz Refresh Rate, Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3070 8GB GDDR6, Windows 11- Black",,4.1 out of 5 stars,124 ratings,Only 2 left in stock - order soon.
"Alienware 2019 Dell 17 R5 17.3"" FHD VR Ready Gaming Laptop Computer, 8th Gen Intel Hexa-Core i7-8750H up to 4.1GHz, 32GB DDR4, 512GB SSD, GTX 1070 8GB, 802.11ac WiFi, Bluetooth 5.0, HDMI, Windows 10",,4.4 out of 5 stars,4 ratings,Only 2 left in stock - order soon.
